polarity;tweet
0;tipetean o felipe melo está marcando bem a bola a bola do joelho doa holandeses #bra
0;getuliovargasjr gol de contraataque belo gol do brasil #bra belo gol do robinho passe do felipe melo foi mais que meio gol
1;leandro_nasc belo contra ataque do brasil belo passe do felipe melo e bola coloca no fundo da rede pelo robinho
1;janascully rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;carolsrc_ rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;fabielle rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;jeffersonzuquim rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;shana_nichele rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;adrianaterri rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;cristopher_cwpr rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;laricancellier rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta // hahahahahaha
1;vannessa_sg rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;israel_neto rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;ferzinho rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;mairabarale rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;daaniinhaa rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;honorioelias rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;alephsouza rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;_anaigual rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;vvbapollinario se a holanda é a laranja mecanica, felipe melo é o espremedor natural de fruta (inpirado em @tiodino)
1;michris rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;yuricesar rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;txelah rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;danitaschossler rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;renas12 rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;laiismiranda_ rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;itsfabianaj rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;neemiascf rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;marianann rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;marcelamperes rt @tiodino se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;didididier rt @tiodino se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta #felipemelofacts
1;jurochavix rt @tiodino se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;luquinello rt @cristo_redentorolha o felipe melo calando a boca de todo mundo #bra shalom
1;xavier_picard felipe melo deu uma de dunga 94 lançamento longo perfeito preciso o melhor da copa ate agora
1;samuca_87 rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;_mandyy rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;luagel @claudialeitte se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;keelvin_desmots rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;camillalagem se uma holanda é uma laranja mecanica, felipe melo é o espremedor de fruta
1;crislamour rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;fegiselle rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;glauciasp rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;murilonf comemorar um gol para o felipe melo agredir os companheiros #ned x #bra
0;apgiorgi felipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat
1;itaeny_duarte se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta e o #bra já começoou a fzr o suco de laranja *-*
1;teilorcapanema rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;cleitonsouza rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;fillippe rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;larissa_mcc rt @layninha: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;gui_barroso rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;drirg rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;jeanvogel_ rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;fezinhapgb rt @gaio_cruz: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;brunatonelli rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta // hahahahahaha
1;anaaclaudiad rt @gustavofuchtergolaaaaço do robinho primeira vez que vejo o felipe melo dando o melhor lançamento do mundo e nao fazendo falta #bra
1;may_twentythree valeu felipe melo #bra
1;giulianemendes robinhoooooo #robinho brasil #bra goool valeu muito o passe felipe melo #felipemelo
1;gisareus rt @quien_comgol de brasil rt @mediotiempo gran pase filtrado de felipe melo para robinho que absolutamente solo define ante la salid
0;maatheeuus_fla rt @penelope_novao heitchonga o felipe melo de #ned
1;matheus_ssantos rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;micheledrl rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;felipethai rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;michellesmelo rt @jualvarenga: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (via @tiodino)
1;dryscavello felipe melo espreme a laranja bebe esse suco e tras pro brasil hehe
1;cenourafw rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;macmasi “@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
0;xxv1niciusxx rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;andrefcavalcant se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta #bra
0;m2rcio rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;mrsdayane rt @jualvarenga: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (via @tiodino)
1;liviazaveri rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;nicemedeiros rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;kathleensylvia rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;lfdeon felipe melo o melhor lançador do time do brasil aí sim fomos surpreendidos novamente
0;prepare_the_way rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;leomonteiro01 se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta kkkkkk
1;misstetei rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;gwinme felipe melo me surpreendeu com sua visão no passe pro robinho que lance #brasil
1;eltonrvieira mauro naves acabou de dizer que felipe melo o maior lança a dor brasileiro concordo com o mauro #bra
1;hugobecker1 felipe melo vai jogar esse passe na cara de todo mundo pra sempre # bra #ned
1;alexkolla primeiro lance positivo do felipe melo na copa será que agora vai #bra
0;sergiomorais rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;hianna rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;alocmey rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;pollyprado se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta kkk
0;emersonpedroza rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;itselisa rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;annekarr se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;gustavojusto rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
0;andreharn rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;natyfarkatt rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;parafans_brazil rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;sousamariiana rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;princess_wal rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;lorranycampos rt @luluss: hahahaha rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;sagoncalves rt @apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat
1;kelberringer boua rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;_fabi_oficial rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;arouca rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;s2arta rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;arnonthomelb rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;lucoweb rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;bruh_limic rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;lucaspet felipe melo craque #bra
1;giulianemendes robinhoooooo #robinho brasil #bra goool booooooa bola felipe melo #felipemelo
1;brigidoneto pensa num passe lindo felipe melo fez ago na copa #bra
0;feel__better o felipe melo pode ter dado um ótimo passe mas eu sou mto mais o ramires x #bra
1;pisquenta rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;valdivinorocha rt @tiodino se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;flaviitoo rt @hianna: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;helenadriane rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;jehffo rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;michellecrist rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;franciscoaalves rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;dedsdeds rt @hianna: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;natalimcfly rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;i_anninha rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;mauriciopickler rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;jspaulinha se a holanda é a laranja mecanca,felipe melo é o espremedor de fruta kkkkkk [cadacoisaqueinventam]
1;brunaoescobar rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;carol_ccf_ rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;leitedefrutas rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;brenohmdakfan rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
0;gabrielhosino rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
0;pmilanez rt @apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat
0;nickserrano rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;lilianeim rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;clara_pimenta rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;gugacorrea rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;bun3ko rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;roja_directa gol de brasil – gol de robinho¡¡¡ahora sí ¡¡¡ha sido robinho desde su propio campo felipe melo se ha inve http://bit ly/9ae5kw
1;_chambs hdushduhduihduhd rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;carous_leocadio rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;dryscavello felipe melo espreme a laranja bebe esse suco e traz pro brasil hehe
1;filipe_mp rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;franckbeck rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;hugocbp hqhahahaha rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;melhoresperolas se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;daniihenry rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;tabataferreira2 o brasil sempre supreendendo qm diria passe do felipe melo pro gol do robinho
1;monemor felipe melo esse mais uma aposta do dunga
1;esporte_estadao copa ao vivorobinho abre o placar para o brasil com passe de felipe melo http://migre me/tmse
1;wendell_r rt @chicobarney felipe melo técnico da seleção brasileira em 2022 #caciquecobracoral
1;viny92 fala mal do felipe melo agra fdp s o cara raça e da o sangue ainda da um passe desse #worldcup
1;marcinhomattos se a holanda é a laranja mecanica, felipe melo só pode ser o espremedor de fruta kkkkkkkkk
1;_kaiooliveira se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino)
1;angelaerba rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;jthalysson rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;__caamila se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;pands___ rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;maxie_xd se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta #ficaadica #melhoresperolas
1;rebecatinho rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;manaramos rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
0;yukitow kkkkkk rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
0;rafmello felipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat
1;annnaa_luiza rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;fernandacost rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;raquelbenaion_ rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;renatomb rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;luligirl rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;dudadib rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;fromnihonq rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;delenbueno rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;princess_wal rt| @macmasi “@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;natisimmons rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;queziacarvalho rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;ferguzzo rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;davipribeiro rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;thomasnizio rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;_prih rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;leonardodna rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;ah_liza rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;kekaahh rt: @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas / oauhaouhouaha
1;paulalopesss rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;rodrigolibanio rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;moanayumi rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;katy_pires se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino)
1;donafiore rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;janaerc rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;renatalrn rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;tenhoparkson se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;behavebitch rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;luizakozer rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;lalykoga rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;davipribeiro rt @macmasi“@apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat ”
1;caroliinesales rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;gustavosmoraes felipe melo deu esse passe genial pra dormir de bem com o dunga hoje #felipemelofacts
1;azambonini rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;thaisgreg rt @paulalopesss: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;thaizadantas rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;thy_fonseca rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
0;nicemedeiros rt @apgiorgifelipe melo o único jogador que você encontra no fifa 2010 no winning eleven e no mortal kombat
1;liviaroso rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;cmtevieira hahahaha rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;eforao rt @paulalopesss: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;dessa_b rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;kaulitz_amandaa rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;maria_fro rt @paulalopesss: rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;analufreire rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;briandiniz rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
1;diipolar rt @melhoresperolas: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta (@tiodino) #melhoresperolas
